pid,doi,wos_award_ids,crossref_award_ids,kuali_verified_award_ids
articles:22618,10.1038/s41467-019-10399-3,"1243095,929635,GEO-1240507,DE-SC0005171,DE-SC0016162,756194",,1243095
articles:22578,10.1038/s41467-019-10527-z,"NNX16AB82G,80NSSC17K0007,FA9550-16-1-0050,AGS-1552153","FA9550-16-1-0050,80NSSC17K0007, NNX16AB82G,AGS-1552153","AGS1552153,NNX16AB82G"
articles:22627,10.1038/s41598-019-46207-7,2018-01272,,
articles:22626,10.1007/s00376-019-9057-2,"2017YFC1501703,2018YFC1506404,41875053,41475015,41322032,2013CB430101,2015CB452800,BE2016732",,
articles:22597,10.1016/j.scitotenv.2019.04.240,"41430424,41730108","41430424,41730108",
articles:22649,10.1061/(ASCE)CR.1943-5495.0000191,"DGE-1041000,SPR-P1(17) M054",,
articles:22660,10.1007/s00382-019-04674-8,"PLR-1341621,PLR-1341527,1852977",,"1852977,PLR1341527"
articles:22663,10.1007/s00382-019-04725-0,NSF-AGS-1247137,,
articles:22657,10.1007/s00382-019-04684-6,"2015CB453200,41420104002,GASI-IPOVAI-02,BK20150907,AGS-1540783,NA13OAR4310167,2011-0021927","2015CB453200,41420104002,GASI-IPOVAI-02,AGS-1540783,NA13OAR4310167,2011-0021927",
articles:22654,10.1007/s00703-018-0615-4,2017M2A8A4015256,,
articles:22658,10.1007/s00382-019-04771-8,,,
articles:22661,10.1007/s00382-019-04751-y,603521,,
articles:22568,10.1016/j.envint.2019.04.033,L14AC00173,L14AC00173,
articles:22622,10.1175/WAF-D-18-0197.1,AGS1624947,"AGS1624947,DTC Visitor Grant",
articles:22621,10.1175/JCLI-D-18-0842.1,"NA14OAR4310275,DE-FC02-97ER62402,OCE1419561,NA15OAR4320064","Graduate Research Fellowship,NA14OAR4310275,DE-FC02-97ER62402,OCE1419561,NA15OAR4320064",
articles:22659,10.1175/MWR-D-18-0019.1,"940180,DESC0017967",,
articles:22656,10.1175/JPO-D-19-0070.1,"OCE-1458984,OCE-1458977,OCE-1634051,AGS-PRF-1524733,274762653,TRR 181","OCE-1634051,1458984,OCE-1458977,AGS-PRF-1524733",
articles:22655,10.1175/JAS-D-19-0048.1,,,
articles:22662,10.1007/s00382-019-04721-4,,,
articles:22650,10.1175/JAS-D-18-0315.1,105-2917-I-564-013,"105-2917-I-564-013,No. AGS-1033112",AGS1033112
articles:22651,10.1175/MWR-D-18-0316.1,,,
articles:22653,10.1175/JCLI-D-19-0034.1,"NA15OAR4310167,NA15OAR4310166,1852977","NA15OAR4310167,NA15OAR4310166,Cooperative Agreement 1852977","1852977,NA15OAR4310167"
articles:22652,10.1175/MWR-D-18-0448.1,,AGS 1755088,1755088
articles:22673,10.1007/s00704-018-2593-3,,,
articles:22648,10.1038/s41893-019-0314-2,,,
articles:22643,10.5194/acp-19-9253-2019,,"1558/14,BMBF",
articles:22642,10.5194/acp-19-9209-2019,,BO 1714/3-1,
articles:22645,10.3390/en12142780,,"DE-AC36-08GO28308,AHA-7-70142-01",DEAC3608GO28308
articles:22664,10.1051/0004-6361/201935986,"ST/N000781/1,NNH15ZDA001N","ST/N000781/1,NNH15ZDA001N",
articles:22641,10.5194/acp-19-9097-2019,NNX14AP89G,,
articles:22665,10.5194/bg-16-2771-2019,"2015-67003-23485,10-21613","2015-67003-23485,NSF-ETBC 10-21613",
articles:22640,10.5194/gmd-12-2983-2019,"STAR 83587701-0,NA18OAR4310113,DE-SC0016559,AGS-1822664,819169","AGS-1822664,DE-SC0016559,NA18OAR4310113,STAR 83587701-0",
articles:22667,10.1002/wcc.600,"DBI-1639145,NNG13HQ04C","DBI‐1639145,NNG13HQ04C",
articles:22669,10.3847/1538-4357/ab23f1,"NNX16AG86G,NNH16AC39I,MIAA1702-0002-00,NNH17AE96I,NNH17AE60I","NNH16AC39I,NNH17AE96I,NNH17AE60I,NNX16AG86G,MIAA1702-0002-00",
articles:22644,10.1029/2019GL083647,,,
articles:22644,10.1029/2019GL083647,,,
articles:22668,10.3389/fmars.2019.00400,"100007298,4893,245927,OCE-1840868,633211,730944,NE/P021417/1,NE/K002473/1,01LK1224I",,
articles:22672,10.1088/1748-9326/ab23c1,"WM130060,EC-320691,NE/P006752/1,NE/N006143/1","NE/N006143/1,WM130060,EC-320691,NE/P006752/1",
articles:22671,10.1007/s11207-019-1474-y,"1852977,NNX08AU30G,IUSSTF-JC-011-2016","1852977,NNX08AU30G",1852977
articles:22629,10.5194/gmd-12-2679-2019,"DE-AC52-07NA27344,DE-A06-76RLO 1830,DE-SC0012704,DE-AC02-05CH11231",,
articles:22630,10.5194/gmd-12-2707-2019,2017YFC1501401,,
articles:22628,10.5194/acp-19-8619-2019,"2017YFC1501406,41807312,IUMKYSZHJ201701",41807312,
articles:22646,10.1029/2019GL083888,,,
articles:22633,10.3847/1538-4357/ab24bd,1615100,,
articles:22477,10.1080/01431161.2019.1574995,G00011220,,
articles:22623,10.3389/fmars.2019.00354,,,
