pid,doi,award_ids
articles:14482,10.1002/sta4.71,1243030
articles:17001,10.1214/08-AOAS168,NNG06GB27G
articles:17002,10.1214/08-AOAS168,NNG06GB27G
articles:17003,10.1098/rspa.2008.0041,ATM-0620100
articles:17004,10.1098/rspa.2009.0033,"ATM-0620100,ATM-0801309"
articles:17005,10.1007/s10584-009-9600-8,"0410348,0709681"
articles:17006,10.1029/2008WR007316,"DMS-0355474,BE-0410348,CNH-0709681"
articles:17007,10.1029/2009GL038285,NA06NES4400002
articles:17008,10.1198/jasa.2009.0007,"DMS-0084375,DMS-0355474,NA05OAR4310020"
articles:17009,10.1103/PhysRevE.80.016313,CMG-0327888
articles:17010,10.1103/PhysRevE.79.026304,UCACYT
articles:17011,10.1063/1.3064122,CMG-0327888
articles:17012,10.1088/1367-2630/10/12/125007,ITR-0325934
articles:17013,10.1063/1.2880275,CMG-0327888
articles:17014,10.1103/PhysRevLett.100.085003,"ATM-0539995,NN06GD47G,NNX08AI47G"
articles:17015,10.1103/PhysRevLett.99.254502,CMG-0327888
articles:17016,10.1175/2009MWR2843.1,"CNS-0421498,CNS-0420873,CNS-0420985,DE-FG02-07ER64464"
articles:17017,10.1002/fld.1874,"CDA-9601817,CNS-0420873,CNS-0420985,CNS-0421498,DE-FG02-04ER63870,DE-FG02-07ER64464,DE-FC03-97ER62402,AIST;"
articles:17018,10.1016/j.compfluid.2008.04.006,"CNS-04214998,CNS-0420873,CNS-0420985,DE-FG02-04ER63870,DE-FG02-07ER64464"
articles:17019,10.1175/2007MWR2181.1,DE-FG02-04ER63870
articles:17020,10.1002/joc.1756,"GA01101,CBC/2B/0417_Annex,P18120-N10,NA87GP0105"
articles:17021,,"DMS98-15344,DMS93-12686,0203901"
articles:17022,10.1175/2007MWR2108.1,"Mathematics,Climate,Earth"
articles:17023,10.1175/2009BAMS2618.1,ROSES
articles:17024,10.1029/2007JD008697,"ATM-0545221,ATM-0335127,NAG5-13567,NNX07AB64G,N00014-07-C0209"
articles:17025,10.3150/07-BEJ6196,"DMS-0504896,CMG"
articles:17026,10.1029/2008JD010924,"ATM-0611936,ATM-0612605,ATM0613124,CHE503854"
articles:17027,10.1175/2008JHM1009.1,ATM-0620624
articles:17028,10.1289/ehp.9967,N02-PC-44401
articles:17029,10.1007/s10584-009-9729-5,R828733
articles:17030,10.1063/1.3292008,90597
articles:17031,10.1175/2010JAS3379.1,"ATM-0425247,NNX07AQ85G,NE/EO11241/1"
articles:17032,10.5194/acpd-10-6375-2010,NA08OAR4320752
articles:17033,10.1080/03091920903304080,"0421498,0420873,0420985"
articles:17034,10.5194/acp-9-8889-2009,05-SRT05-70
articles:17035,10.1007/s11430-010-3040-1,"40705037,40801175"
articles:17036,10.1175/2009MWR2858.1,"N0014-05-1-0164,DMS-0456713"
articles:17037,10.1007/s11430-010-3040-1,06-13194
articles:17038,10.1175/2009MWR3133.1,DMS
articles:17039,10.1175/2010JAS3330.1,"ATM-,ATM-0321362,ATM-0340832,ATM-0612605,ATM-0611936,ATM-0615414,ATM-,ATM-0645644"
articles:17040,10.1007/s00703-009-0054-3,"ATM,NA06NES4400013"
articles:17041,10.5194/acp-10-9-2010,"RD-83145401,NA06OAR4600189"
articles:17042,10.1175/2009MWR3086.1,0205655
articles:17043,10.5194/acp-9-8745-2009,ATM-0627227
articles:17044,10.1007/s10874-010-9155-0,ATM-0627227
articles:17045,10.1175/2009JAS3027.1,"BLAN06-3,ATM-0618662"
articles:17046,10.1175/2010JPO4377.1,NER/S/A/2003/
articles:17047,10.1175/2009JCLI2844.1,"NNL06AA01A,NNX08AF68G,NNX08AF81G,ATM-0239605"
articles:17048,10.3894/JAMES.2009.1.15,ATM-0425247
articles:17049,10.1175/2010WAF2222336.1,"GYHY200706004,Z0006279040191"
articles:17050,10.1175/2009JAS3187.1,NNX07AQ85G
articles:17051,10.1029/2009JD012802,"40975009,40906023"
articles:17052,10.1175/2010JAS3250.1,"NA08OAR4310543,DE-FG02-08ER64574,,ATM-0425247"
articles:17053,10.3894/JAMES.2009.1.16,ATM-
articles:17054,10.1007/s00382-010-0792-4,"OPP-0327664,ARC-0628910,ARC-0652838,OPP-0612388"
articles:17055,10.1007/s00382-010-0816-0,"OPP-0327664,OPP-0612388,ARC-,ARC-0652838,NNG06GB26G"
articles:17056,10.1175/2009JAS3155.1,"NA08OAR4310543,DEFG02-08ER64574."
articles:17057,10.1016/j.jcp.2010.03.017,"DE-FG02-08ER64535,NE/G004358"
articles:17058,10.1073/pnas.0913846107,"ATM-0628678,ATM-0628582"
articles:17059,10.1175/2009JCLI3152.1,"NA07OAR4310051,NA06OAR4310145"
articles:17060,10.5194/bg-7-1877-2010,"NSF-0758369,,NSF-0832782,NSF-0628353"
articles:17061,10.1029/2009JD012445,582-8-86246
articles:17062,10.1029/2009GL042314,"NOAA,NNX09AH89G"
articles:17063,10.1029/2009GL041662,
articles:17064,10.1038/ngeo729,DE-FC02-97ER62402
articles:17065,10.1126/science.1187272,"NA07OAR4310051,NNX09AH89G"
articles:17066,10.1029/2009JD012100,"NNX08AN76G,NNX08AN76G"
articles:17067,10.5194/acp-10-1345-2010,"EOS/03-0601-0145,NNG04GA459"
articles:17068,10.1016/j.jcp.2009.12.031,DE-FG02-
articles:17069,10.1175/2009BAMS2865.1,"ATM-0618662,ATM-0904635,ATM-0722225"
