pid,doi,award_ids
articles:22618,10.1038/s41467-019-10399-3,1243095
articles:22578,10.1038/s41467-019-10527-z,"AGS1552153,NNX16AB82G"
articles:22660,10.1007/s00382-019-04674-8,"1852977,PLR1341527"
articles:22650,10.1175/JAS-D-18-0315.1,AGS1033112
articles:22653,10.1175/JCLI-D-19-0034.1,"1852977,NA15OAR4310167"
articles:22652,10.1175/MWR-D-18-0448.1,1755088
articles:22645,10.3390/en12142780,DEAC3608GO28308
articles:22671,10.1007/s11207-019-1474-y,1852977
articles:22615,10.1175/JCLI-D-18-0735.1,"NA13OAR4310138,OCE1243015"
articles:22611,10.1175/JCLI-D-18-0823.1,NA14OAR4310224
articles:22580,10.3389/fmars.2019.00260,1852977
articles:22584,10.1021/acs.est.8b06155,1211668
articles:22572,10.5194/acp-19-7255-2019,1852977
articles:22491,10.1175/WAF-D-18-0087.1,DTFAWA15D00036
articles:22535,10.1175/JCLI-D-18-0607.1,DESC0012711
articles:22573,10.3847/1538-4357/ab1907,1852977
articles:22553,10.3389/fmars.2019.00241,"IF000292014CP1230CT0002,IF011942013CP1199CT0002"
articles:22592,10.1029/2019JA026678,"1852977,NNX16AB82G"
articles:22567,10.1029/2019GL082034,"1852977,NNX15AG70A,NNX15AG71A"
articles:22525,10.5194/tc-13-1441-2019,1852977
articles:22496,10.1175/JAMC-D-18-0211.1,"AGS1852977,DEEE0005373"
articles:22498,10.1175/JCLI-D-18-0232.1,1501993
articles:22513,10.1175/JAS-D-18-0301.1,DESC0016476
articles:22505,10.1016/j.asr.2019.01.036,NNX17AG69G
articles:22593,10.1029/2019PA003564,DESC0006744
articles:22595,10.1029/2019SW002184,AGS1033112
articles:22457,10.5194/angeo-37-235-2019,AGS1033112
articles:22433,10.1038/s41558-019-0418-8,AGS1641177
articles:22455,10.1088/1748-9326/ab09b3,1852977
articles:22431,10.1175/JAS-D-18-0034.1,NNX11AC07G
articles:22481,10.1175/WAF-D-18-0136.1,AGS1033112
articles:22461,10.1175/JCLI-D-18-0576.1,"1852977,80NSSC18K0769,NNX16AH60G,SC0006743"
articles:22519,10.1016/j.ocemod.2019.02.006,1852977
articles:22516,10.1175/BAMS-D-18-0005.1,DESC0016476
articles:22515,10.1175/BAMS-D-17-0185.1,753581
articles:22472,10.1175/JTECH-D-18-0105.1,AGS1522830
articles:22564,10.1029/2018JA026175,"80NSSC17K0013,NNX13AE15G,NNX14AD83G,NNX14AE06G,NNX17AI42G"
articles:22416,10.5194/acp-19-3621-2019,DESC0016476
articles:22429,10.1029/2018JD029151,NNX16AD96G
articles:22439,10.1029/2018JD029009,NNX15AH03G
articles:22440,10.1029/2018JD028892,DEAC0576RL01830
articles:22386,10.1016/j.asr.2018.10.036,AGS1033112
articles:22418,10.5194/hess-23-1469-2019,"AGS1048829,AGS1419563,NA11OAR4310205"
articles:22375,10.1175/MWR-D-18-0334.1,"AGS0856145,T0006"
articles:22293,10.1175/JCLI-D-18-0307.1,"NA13OAR4310138,OCE1243015"
articles:22389,10.1175/JAS-D-18-0260.1,49A03A
articles:22562,10.1029/2018JA026388,80NSSC17K0719
articles:22563,10.1029/2018JA026309,CASAGS1033112
articles:22362,10.1038/s41467-019-08884-w,AGS1243095
articles:22365,10.1029/2018JD028906,DEAC0576RL01830
articles:22446,10.1029/2018GL080847,DESC0016476
articles:22395,10.1007/s00382-018-4237-9,"1419585,SC0006743"
articles:22449,10.1029/2018JA026367,NNX16AB82G
articles:22396,10.1175/BAMS-D-17-0297.1,NA15OAR4590191
articles:22394,10.1175/BAMS-D-18-0265.1,1822272
articles:22380,10.1029/2018GB005987,1737158
articles:22452,10.1029/2018JA025476,"AGS1339918,NNX13AF77G,NNX13AF93G,NNX15AK75G,NNX17AG69G"
articles:22352,10.1029/2018JD029596,"DESC0008648,DESC0016476"
articles:22382,10.3390/rs11030251,AGS1033112
articles:22427,10.5194/angeo-37-37-2019,X13AF77G
articles:22284,10.5194/esd-10-45-2019,OCE1243015
articles:22285,10.5194/acp-19-887-2019,DEAC0576RL01830
articles:22287,10.5194/gmd-12-387-2019,"8,561,451,852,977"
articles:22348,10.1029/2018JD029130,80NSSC17P1441
articles:22351,10.1029/2018JD029293,DEAC0576RL01830
articles:22261,10.5194/bg-16-117-2019,NNX15AG87G
articles:22302,10.1029/2018JD028912,NNX16AD96G
articles:22064,10.1016/j.atmosres.2018.08.017,AGS1048829
articles:22309,10.1109/JSTARS.2018.2825948,NNL13AQ00C
