pid	doi	award_ids
articles:22618	10.1038/s41467-019-10399-3	1243095
articles:22578	10.1038/s41467-019-10527-z	AGS1552153,NNX16AB82G
articles:22627	10.1038/s41598-019-46207-7	
articles:22626	10.1007/s00376-019-9057-2	
articles:22597	10.1016/j.scitotenv.2019.04.240	
articles:22649	10.1061/(ASCE)CR.1943-5495.0000191	
articles:22660	10.1007/s00382-019-04674-8	1852977,PLR1341527
articles:22663	10.1007/s00382-019-04725-0	
articles:22657	10.1007/s00382-019-04684-6	
articles:22654	10.1007/s00703-018-0615-4	
articles:22658	10.1007/s00382-019-04771-8	
articles:22661	10.1007/s00382-019-04751-y	
articles:22568	10.1016/j.envint.2019.04.033	
articles:22622	10.1175/WAF-D-18-0197.1	
articles:22621	10.1175/JCLI-D-18-0842.1	
articles:22659	10.1175/MWR-D-18-0019.1	
articles:22656	10.1175/JPO-D-19-0070.1	
articles:22655	10.1175/JAS-D-19-0048.1	
articles:22662	10.1007/s00382-019-04721-4	
articles:22650	10.1175/JAS-D-18-0315.1	AGS1033112
articles:22651	10.1175/MWR-D-18-0316.1	
articles:22653	10.1175/JCLI-D-19-0034.1	1852977,NA15OAR4310167
articles:22652	10.1175/MWR-D-18-0448.1	1755088
articles:22673	10.1007/s00704-018-2593-3	
articles:22648	10.1038/s41893-019-0314-2	
articles:22643	10.5194/acp-19-9253-2019	
articles:22642	10.5194/acp-19-9209-2019	
articles:22645	10.3390/en12142780	DEAC3608GO28308
articles:22664	10.1051/0004-6361/201935986	
articles:22641	10.5194/acp-19-9097-2019	
articles:22665	10.5194/bg-16-2771-2019	
articles:22640	10.5194/gmd-12-2983-2019	
articles:22667	10.1002/wcc.600	
articles:22669	10.3847/1538-4357/ab23f1	
articles:22644	10.1029/2019GL083647	
articles:22644	10.1029/2019GL083647	
articles:22668	10.3389/fmars.2019.00400	
articles:22672	10.1088/1748-9326/ab23c1	
articles:22671	10.1007/s11207-019-1474-y	1852977
articles:22629	10.5194/gmd-12-2679-2019	
articles:22630	10.5194/gmd-12-2707-2019	
articles:22628	10.5194/acp-19-8619-2019	
articles:22646	10.1029/2019GL083888	
articles:22633	10.3847/1538-4357/ab24bd	
articles:22477	10.1080/01431161.2019.1574995	
articles:22623	10.3389/fmars.2019.00354	
articles:22614	10.1175/JHM-D-18-0220.1	
articles:22615	10.1175/JCLI-D-18-0735.1	NA13OAR4310138,OCE1243015
articles:22612	10.1175/JCLI-D-18-0872.1	
articles:22613	10.1175/JPO-D-19-0003.1	
articles:22611	10.1175/JCLI-D-18-0823.1	NA14OAR4310224
articles:22616	10.1175/MWR-D-19-0030.1	
articles:22624	10.1175/MWR-D-18-0389.1	
articles:22576	10.1175/JAS-D-18-0264.1	
articles:22577	10.1016/j.parco.2019.01.005	
articles:22631	10.1175/JTECH-D-19-0019.1	
articles:22632	10.1175/MWR-D-19-0043.1	
articles:22670	10.1175/MWR-D-19-0006.1	
articles:22548	10.1007/s00382-018-4553-0	
articles:22666	10.1073/pnas.1900613116	
articles:22617	10.5194/hess-23-2715-2019	
articles:22619	10.3389/fmars.2019.00300	
technotes:578	10.5065/5frb-ws04	
articles:22636	10.1029/2018EF001146	
articles:22566	10.3847/1538-4357/ab1b24	
articles:22580	10.3389/fmars.2019.00260	1852977
articles:22581	10.5194/amt-12-3067-2019	
articles:22582	10.5194/acp-19-7409-2019	
articles:22583	10.1021/jacs.9b02890	
articles:22569	10.3389/fmars.2019.00277	
articles:22584	10.1021/acs.est.8b06155	1211668
articles:22572	10.5194/acp-19-7255-2019	1852977
articles:22571	10.5194/tc-13-1547-2019	
articles:22491	10.1175/WAF-D-18-0087.1	DTFAWA15D00036
articles:22492	10.1061/(ASCE)WR.1943-5452.0001073	
articles:22510	10.1175/JCLI-D-18-0273.1	
articles:22511	10.1016/j.atmosenv.2019.02.048	
articles:22466	10.1007/s00376-019-8172-4	
articles:22535	10.1175/JCLI-D-18-0607.1	DESC0012711
articles:22536	10.1175/JTECH-D-18-0111.1	
articles:22521	10.1175/MWR-D-18-0281.1	
articles:22522	10.1175/MWR-D-18-0025.1	
articles:22552	10.1007/s00382-017-3573-5	
articles:22586	10.1175/WAF-D-18-0187.1	
articles:22585	10.1016/j.solener.2019.03.068	
articles:22550	10.1175/JAS-D-18-0319.1	
articles:22549	10.1175/JAS-D-18-0296.1	
articles:22551	10.1016/j.jid.2018.11.030	
articles:22587	10.1175/JAS-D-18-0187.1	
articles:22530	10.1007/s00024-018-1849-2	
